-58,-55,-56,-54.5,-57.5,-61.5,-60.5,-60,-54.5,-55,-55,-58,-60,-59,-62.5
-61,-55,-55.5,-54.5,-56.5,-62.5,-60,-62,-55,-55,-55,-56,-61,-58,-62
-63.5,-55.5,-55.5,-55.5,-55,-62,-60,-62,-56,-55,-55.5,-55,-61.5,-58,-61
-63,-56.5,-55.5,-56,-54.5,-60,-60.5,-61.5,-57.5,-55,-55,-54.5,-60.5,-59,-59.5
-61.5,-58,-55,-56,-54.5,-57.5,-61.5,-60.5,-60,-54.5,-55,-55,-58,-60,-59
-60,-61,-55,-55.5,-54.5,-56.5,-62.5,-60,-62,-55,-55,-55,-56,-61,-58
-59,-63.5,-55.5,-55.5,-55.5,-55,-62,-60,-62,-56,-55,-55.5,-55,-61.5,-58
-59.5,-63,-56.5,-55.5,-56,-54.5,-60,-60.5,-61.5,-57.5,-55,-55,-54.5,-60.5,-59
-59.5,-61.5,-58,-55,-56,-54.5,-57.5,-61.5,-60.5,-60,-54.5,-55,-55,-58,-60
-60,-60,-61,-55,-55.5,-54.5,-56.5,-62.5,-60,-62,-55,-55,-55,-56,-61
-61.5,-59,-63.5,-55.5,-55.5,-55.5,-55,-62,-60,-62,-56,-55,-55.5,-55,-61.5
-62.5,-59.5,-63,-56.5,-55.5,-56,-54.5,-60,-60.5,-61.5,-57.5,-55,-55,-54.5,-60.5
-62.5,-59.5,-61.5,-58,-55,-56,-54.5,-57.5,-61.5,-60.5,-60,-54.5,-55,-55,-58
-61,-60,-60,-61,-55,-55.5,-54.5,-56.5,-62.5,-60,-62,-55,-55,-55,-56
-58,-61.5,-59,-63.5,-55.5,-55.5,-55.5,-55,-62,-60,-62,-56,-55,-55.5,-55
-56.5,-62.5,-59.5,-63,-56.5,-55.5,-56,-54.5,-60,-60.5,-61.5,-57.5,-55,-55,-54.5
-55.5,-62.5,-59.5,-61.5,-58,-55,-56,-54.5,-57.5,-61.5,-60.5,-60,-54.5,-55,-55
-54.5,-61,-60,-60,-61,-55,-55.5,-54.5,-56.5,-62.5,-60,-62,-55,-55,-55
-55,-58,-61.5,-59,-63.5,-55.5,-55.5,-55.5,-55,-62,-60,-62,-56,-55,-55.5
-55,-56.5,-62.5,-59.5,-63,-56.5,-55.5,-56,-54.5,-60,-60.5,-61.5,-57.5,-55,-55
-55,-55.5,-62.5,-59.5,-61.5,-58,-55,-56,-54.5,-57.5,-61.5,-60.5,-60,-54.5,-55
-55.5,-54.5,-61,-60,-60,-61,-55,-55.5,-54.5,-56.5,-62.5,-60,-62,-55,-55
-55.5,-55,-58,-61.5,-59,-63.5,-55.5,-55.5,-55.5,-55,-62,-60,-62,-56,-55
