-58,-58,-57.5,-56.5,-57.5,-56.5,-56,-56.5,-56,-56.5,-56.5,-56,-56,-55.5,-55.5
-58,-58,-57.5,-57,-57,-56.5,-56.5,-56.5,-56,-56.5,-56.5,-56.5,-56,-55,-56
-58,-58,-57.5,-57,-57,-56.5,-56.5,-56.5,-56.5,-56.5,-56,-56.5,-56,-55.5,-55.5
-58,-58,-58,-57,-57.5,-56.5,-56.5,-56.5,-56.5,-56,-56,-56,-56,-55.5,-55.5
-57.5,-58.5,-58,-57,-56.5,-57,-56.5,-56.5,-56.5,-56.5,-56,-56,-56,-55.5,-55.5
-58,-58,-58,-57.5,-56.5,-57.5,-56.5,-56,-56.5,-56,-56.5,-56.5,-56,-56,-55.5
-58,-58,-58,-57.5,-57,-57,-56.5,-56.5,-56.5,-56,-56.5,-56.5,-56.5,-56,-55
-58,-58,-58,-57.5,-57,-57,-56.5,-56.5,-56.5,-56.5,-56.5,-56,-56.5,-56,-55.5
-58,-58,-58,-58,-57,-57.5,-56.5,-56.5,-56.5,-56.5,-56,-56,-56,-56,-55.5
-58,-57.5,-58.5,-58,-57,-56.5,-57,-56.5,-56.5,-56.5,-56.5,-56,-56,-56,-55.5
-58,-58,-58,-58,-57.5,-56.5,-57.5,-56.5,-56,-56.5,-56,-56.5,-56.5,-56,-56
-58,-58,-58,-58,-57.5,-57,-57,-56.5,-56.5,-56.5,-56,-56.5,-56.5,-56.5,-56
-58,-58,-58,-58,-57.5,-57,-57,-56.5,-56.5,-56.5,-56.5,-56.5,-56,-56.5,-56
-58,-58,-58,-58,-58,-57,-57.5,-56.5,-56.5,-56.5,-56.5,-56,-56,-56,-56
-58,-58,-57.5,-58.5,-58,-57,-56.5,-57,-56.5,-56.5,-56.5,-56.5,-56,-56,-56
-58.5,-58,-58,-58,-58,-57.5,-56.5,-57.5,-56.5,-56,-56.5,-56,-56.5,-56.5,-56
-59,-58,-58,-58,-58,-57.5,-57,-57,-56.5,-56.5,-56.5,-56,-56.5,-56.5,-56.5
-59,-58,-58,-58,-58,-57.5,-57,-57,-56.5,-56.5,-56.5,-56.5,-56.5,-56,-56.5
-58.5,-58,-58,-58,-58,-58,-57,-57.5,-56.5,-56.5,-56.5,-56.5,-56,-56,-56
-58,-58,-58,-57.5,-58.5,-58,-57,-56.5,-57,-56.5,-56.5,-56.5,-56.5,-56,-56
-58,-58.5,-58,-58,-58,-58,-57.5,-56.5,-57.5,-56.5,-56,-56.5,-56,-56.5,-56.5
-58.5,-59,-58,-58,-58,-58,-57.5,-57,-57,-56.5,-56.5,-56.5,-56,-56.5,-56.5
-59,-59,-58,-58,-58,-58,-57.5,-57,-57,-56.5,-56.5,-56.5,-56.5,-56.5,-56
-59,-58.5,-58,-58,-58,-58,-58,-57,-57.5,-56.5,-56.5,-56.5,-56.5,-56,-56
-59,-58,-58,-58,-57.5,-58.5,-58,-57,-56.5,-57,-56.5,-56.5,-56.5,-56.5,-56
-59,-58,-58.5,-58,-58,-58,-58,-57.5,-56.5,-57.5,-56.5,-56,-56.5,-56,-56.5
-58.5,-58.5,-59,-58,-58,-58,-58,-57.5,-57,-57,-56.5,-56.5,-56.5,-56,-56.5
-59,-59,-59,-58,-58,-58,-58,-57.5,-57,-57,-56.5,-56.5,-56.5,-56.5,-56.5
-59,-59,-58.5,-58,-58,-58,-58,-58,-57,-57.5,-56.5,-56.5,-56.5,-56.5,-56
-59,-59,-58,-58,-58,-57.5,-58.5,-58,-57,-56.5,-57,-56.5,-56.5,-56.5,-56.5
-59.5,-59,-58,-58.5,-58,-58,-58,-58,-57.5,-56.5,-57.5,-56.5,-56,-56.5,-56
-59.5,-58.5,-58.5,-59,-58,-58,-58,-58,-57.5,-57,-57,-56.5,-56.5,-56.5,-56
