E200 9366 C6B6 8171 9071 BE05,1.55918E+15,926.25,-50,5.964117303
E200 9366 C6B6 1231 9071 BC48,1.55918E+15,926.25,-39.5,5.694136685
E200 9366 C6B6 1231 9071 BC48,1.55918E+15,926.25,-39.5,5.681864838
E200 9366 C6B6 8171 9071 BE05,1.55918E+15,926.25,-50,6.215690153
E200 9366 C6B6 1231 9071 BC48,1.55918E+15,922.75,-39,0.414174813
E200 9366 C6B6 8171 9071 BE05,1.55918E+15,922.75,-50.5,0.708699124
E200 9366 C6B6 8171 9071 BE05,1.55918E+15,922.75,-50,0.773126317
E200 9366 C6B6 1231 9071 BC48,1.55918E+15,922.75,-39,0.460194236
E200 9366 C6B6 1231 9071 BC48,1.55918E+15,922.75,-38.5,0.46633016
E200 9366 C6B6 8171 9071 BE05,1.55918E+15,922.75,-50.5,0.724038932
E200 9366 C6B6 1231 9071 BC48,1.55918E+15,922.75,-38.5,0.441786467
E200 9366 C6B6 8171 9071 BE05,1.55918E+15,922.75,-51,0.766990394
E200 9366 C6B6 1231 9071 BC48,1.55918E+15,922.25,-39,0.613592315
E200 9366 C6B6 8171 9071 BE05,1.55918E+15,922.25,-50.5,0.785398163
E200 9366 C6B6 8171 9071 BE05,1.55918E+15,922.25,-50,0.89584478
E200 9366 C6B6 1231 9071 BC48,1.55918E+15,922.25,-39,0.595184546
E200 9366 C6B6 1231 9071 BC48,1.55918E+15,922.25,-38.5,0.56450493
E200 9366 C6B6 8171 9071 BE05,1.55918E+15,922.25,-49.5,0.809941856
E200 9366 C6B6 1231 9071 BC48,1.55918E+15,922.25,-38.5,0.527689391
E200 9366 C6B6 8171 9071 BE05,1.55918E+15,922.25,-49.5,0.742446701
E200 9366 C6B6 1231 9071 BC48,1.55918E+15,925.25,-39.5,6.007068765
E200 9366 C6B6 8171 9071 BE05,1.55918E+15,925.25,-49.5,6.234097922
E200 9366 C6B6 1231 9071 BC48,1.55918E+15,925.25,-39.5,5.908893995
E200 9366 C6B6 8171 9071 BE05,1.55918E+15,925.25,-50.5,0.09817477
E200 9366 C6B6 1231 9071 BC48,1.55918E+15,925.25,-39.5,5.933437688
E200 9366 C6B6 8171 9071 BE05,1.55918E+15,925.25,-50,6.258641615
E200 9366 C6B6 8171 9071 BE05,1.55918E+15,925.25,-50,0.128854386
E200 9366 C6B6 1231 9071 BC48,1.55918E+15,925.25,-39.5,5.915029918
E200 9366 C6B6 1231 9071 BC48,1.55918E+15,925.25,-39.5,5.982525073
E200 9366 C6B6 8171 9071 BE05,1.55918E+15,925.25,-50.5,0.184077695
E200 9366 C6B6 1231 9071 BC48,1.55918E+15,924.75,-39.5,6.080699843
E200 9366 C6B6 8171 9071 BE05,1.55918E+15,924.75,-50,0.079767001
E200 9366 C6B6 1231 9071 BC48,1.55918E+15,924.75,-39.5,6.043884304
E200 9366 C6B6 8171 9071 BE05,1.55918E+15,924.75,-50,0.190213618
E200 9366 C6B6 8171 9071 BE05,1.55918E+15,924.75,-49.5,0.282252465
E200 9366 C6B6 1231 9071 BC48,1.55918E+15,924.75,-39.5,6.099107613
E200 9366 C6B6 1231 9071 BC48,1.55918E+15,924.75,-39.5,6.117515382
E200 9366 C6B6 8171 9071 BE05,1.55918E+15,924.75,-51,0.325203927
E200 9366 C6B6 8171 9071 BE05,1.55918E+15,927.75,-49.5,5.712544454
E200 9366 C6B6 1231 9071 BC48,1.55918E+15,927.75,-40.5,5.233942448
E200 9366 C6B6 8171 9071 BE05,1.55918E+15,927.75,-50.5,5.816855148
E200 9366 C6B6 1231 9071 BC48,1.55918E+15,927.75,-40.5,5.307573526
E200 9366 C6B6 8171 9071 BE05,1.55918E+15,927.75,-50,5.878214379
E200 9366 C6B6 1231 9071 BC48,1.55918E+15,927.75,-40.5,5.233942448
E200 9366 C6B6 1231 9071 BC48,1.55918E+15,927.75,-40,5.215534679
E200 9366 C6B6 8171 9071 BE05,1.55918E+15,927.75,-50.5,5.712544454
E200 9366 C6B6 1231 9071 BC48,1.55918E+15,927.75,-40.5,5.240078371
E200 9366 C6B6 8171 9071 BE05,1.55918E+15,927.75,-50.5,5.761631839
E200 9366 C6B6 1231 9071 BC48,1.55918E+15,923.25,-38.5,0.263844696
E200 9366 C6B6 8171 9071 BE05,1.55918E+15,923.25,-50.5,0.589048623
E200 9366 C6B6 8171 9071 BE05,1.55918E+15,923.25,-50.5,0.589048623
E200 9366 C6B6 1231 9071 BC48,1.55918E+15,923.25,-39,0.269980619
E200 9366 C6B6 1231 9071 BC48,1.55918E+15,923.25,-39,0.257708772
E200 9366 C6B6 8171 9071 BE05,1.55918E+15,923.25,-50,0.791534087
E200 9366 C6B6 8171 9071 BE05,1.55918E+15,923.25,-50.5,0.539961237
E200 9366 C6B6 1231 9071 BC48,1.55918E+15,923.25,-39,0.239301003
E200 9366 C6B6 8171 9071 BE05,1.55918E+15,923.25,-49.5,0.613592315
E200 9366 C6B6 1231 9071 BC48,1.55918E+15,923.25,-39,0.282252465
E200 9366 C6B6 8171 9071 BE05,1.55918E+15,926.75,-50.5,5.85980661
E200 9366 C6B6 1231 9071 BC48,1.55918E+15,926.75,-40.5,5.546874529
